0.3	0
0.3	1
0.3	10
0.3	21
0.3	28
0.4	3
0.4	8
0.4	9
0.4	12
0.4	17
0.4	19
0.4	22
0.4	23
0.4	24
0.4	31
0.4	34
0.4	40
0.4	43
0.5	2
0.5	5
0.5	7
0.5	13
0.5	15
0.5	16
0.5	18
0.5	20
0.5	25
0.5	26
0.5	27
0.5	30
0.5	32
0.5	35
0.5	38
0.5	41
0.5	45
0.5	46
0.5	49
0.6	6
0.6	29
0.6	33
0.6	36
0.6	37
0.6	39
0.6	42
0.6	44
0.6	47
0.6	48
0.7	4
0.7	11
0.7	14
2.8	0
2.8	3
2.8	10
2.9	1
2.9	12
2.9	19
2.9	22
2.9	24
2.9	28
2.9	40
2.9	43
3	2
3	5
3	8
3	13
3	17
3	18
3	20
3	21
3	25
3	29
3	30
3	31
3	32
3	34
3	35
3	41
3	44
3	46
3	49
3.1	4
3.1	7
3.1	9
3.1	15
3.1	16
3.1	23
3.1	26
3.1	27
3.1	37
3.1	47
3.2	36
3.2	38
3.2	39
3.2	42
3.3	6
3.3	11
3.3	33
3.3	45
3.3	48
3.5	14
5.1	0
5.2	10
5.3	3
5.3	28
5.3	40
5.4	43
5.4	44
5.5	5
5.5	19
5.5	22
5.5	24
5.5	25
5.5	30
5.5	34
5.6	1
5.6	12
5.6	20
5.6	21
5.6	32
5.6	35
5.6	41
5.6	46
5.6	47
5.6	49
5.7	2
5.7	4
5.7	8
5.7	9
5.7	13
5.7	15
5.7	16
5.7	17
5.7	23
5.7	26
5.7	27
5.7	31
5.7	38
5.8	39
5.9	7
5.9	11
5.9	18
5.9	36
5.9	37
5.9	42
5.9	48
6	6
6	29
6	33
6	45
6.4	14
7.3	0
7.4	10
7.6	3
7.6	28
7.6	40
7.7	43
7.7	44
7.9	22
7.9	30
8	5
8	24
8	25
8	47
8.1	12
8.1	19
8.1	20
8.1	34
8.2	21
8.2	23
8.2	32
8.2	41
8.2	49
8.3	2
8.3	4
8.3	8
8.3	9
8.3	16
8.3	17
8.3	35
8.3	38
8.3	39
8.3	46
8.3	48
8.4	1
8.4	15
8.5	13
8.5	26
8.5	27
8.5	31
8.5	42
8.6	6
8.6	11
8.6	29
8.6	37
8.6	45
8.7	18
8.7	33
8.7	36
8.8	7
8.9	14
9.7	0
9.7	10
9.9	3
9.9	28
9.9	40
10	43
10	44
10.1	30
10.2	22
10.3	5
10.3	24
10.3	25
10.3	47
10.4	12
10.4	20
10.5	34
10.6	19
10.6	21
10.8	17
10.8	23
10.8	32
10.8	41
10.8	49
10.9	2
10.9	38
10.9	46
10.9	48
11	4
11	8
11	9
11	16
11	27
11	35
11	39
11.1	1
11.1	13
11.1	15
11.1	31
11.1	33
11.2	6
11.2	11
11.2	18
11.2	26
11.2	36
11.2	37
11.2	42
11.3	7
11.3	14
11.3	29
11.3	45
12.1	0
12.2	10
12.3	3
12.3	28
12.3	44
12.4	30
12.4	40
12.4	43
12.5	22
12.6	5
12.6	12
12.6	20
12.6	24
12.6	25
12.6	47
12.7	34
12.8	19
12.8	21
13.3	49
13.4	2
13.4	32
13.4	41
13.5	9
13.5	16
13.5	17
13.5	35
13.5	38
13.5	48
13.6	1
13.6	4
13.6	8
13.6	15
13.6	23
13.6	27
13.6	31
13.6	33
13.6	39
13.6	42
13.6	46
13.7	13
13.7	18
13.7	26
13.7	29
13.7	36
13.7	37
13.8	6
13.8	7
13.8	11
13.8	14
13.8	45
14.5	0
14.8	28
14.8	30
14.9	3
14.9	10
15	5
15	12
15	20
15	22
15	24
15	25
15	40
15	43
15	44
15.1	19
15.1	21
15.1	34
15.1	47
15.9	32
15.9	41
16	16
16	48
16	49
16.1	2
16.1	17
16.1	31
16.1	35
16.1	38
16.2	4
16.2	7
16.2	8
16.2	13
16.2	18
16.2	23
16.2	26
16.2	27
16.2	29
16.2	33
16.2	36
16.2	37
16.2	39
16.2	42
16.2	46
16.3	1
16.3	6
16.3	9
16.3	11
16.3	14
16.3	15
16.4	45
17.1	0
17.1	28
17.2	30
17.4	22
17.4	44
17.4	47
17.5	3
17.5	5
17.5	10
17.5	19
17.5	20
17.5	21
17.5	25
17.5	34
17.5	40
17.5	43
17.6	12
17.6	24
18.3	41
18.4	32
18.4	48
18.5	16
18.5	38
18.5	49
18.6	2
18.6	7
18.6	17
18.6	18
18.6	31
18.6	33
18.6	46
18.7	4
18.7	6
18.7	13
18.7	23
18.7	27
18.7	35
18.7	36
18.7	42
18.8	1
18.8	8
18.8	9
18.8	14
18.8	15
18.8	26
18.8	29
18.8	37
18.8	39
18.8	45
18.9	11
19.5	0
19.6	28
19.7	30
19.8	3
19.8	22
19.8	25
19.8	34
19.8	47
19.9	5
19.9	10
19.9	12
19.9	19
19.9	20
19.9	21
19.9	40
19.9	43
19.9	44
20	24
20.7	41
20.8	16
20.9	32
21	7
21	18
21	31
21	38
21	49
21.1	2
21.1	27
21.1	33
21.1	48
21.2	6
21.2	13
21.2	17
21.2	26
21.2	46
21.3	1
21.3	8
21.3	9
21.3	14
21.3	23
21.3	29
21.3	35
21.3	36
21.3	37
21.3	39
21.3	42
21.3	45
21.4	4
21.4	11
21.4	15
22	0
22	28
22	30
22.2	47
22.3	25
22.3	40
