4.8	15
4.8	30
4.9	2
4.9	33
5	26
5.1	18
5.1	19
5.2	4
5.2	8
5.2	48
5.3	21
5.3	27
5.3	29
5.4	13
5.4	34
5.4	36
5.4	40
5.4	42
5.5	1
5.5	23
5.5	24
5.5	28
5.5	46
5.6	5
5.6	10
5.6	25
5.6	32
5.6	41
5.7	22
5.7	47
5.8	3
5.8	16
5.8	17
5.8	20
5.8	49
5.9	12
6	31
6	35
6	43
6	45
6.1	0
6.1	6
6.1	44
6.4	39
13.1	17
13.2	25
13.2	31
13.3	5
13.4	6
13.6	12
13.6	44
13.6	47
13.7	0
13.7	35
13.7	49
13.8	39
13.9	20
13.9	22
14	3
14.1	43
14.2	8
14.4	23
14.4	34
15	1
20.3	37
20.4	46
20.7	42
21.1	3
21.1	24
21.5	45
21.6	4
21.6	8
21.6	49
21.8	19
21.8	29
22.9	14
23.9	32
26.6	36
26.8	20
27.2	44
27.3	47
27.5	39
27.6	48
28.1	22
28.8	25
29.7	5
30.6	9
30.6	31
30.6	43
30.7	35
30.9	23
31.1	16
31.3	12
31.4	26
31.4	27
31.4	34
31.6	1
31.8	41
32.3	10
32.4	17
33	38
33.7	40
33.9	46
34.9	11
35.9	19
36.1	33
36.2	18
36.6	0
36.8	24
37.8	8
37.8	20
37.9	13
37.9	15
37.9	28
38	7
39.1	3
39.7	4
41.8	2
41.8	30
42.1	49
42.2	45
42.5	21
42.6	32
42.8	6
44.4	14
44.4	39
45.7	37
45.8	42
46.4	29
46.7	16
46.9	22
47.4	36
47.5	31
47.5	44
47.5	48
47.7	5
47.7	43
48.4	10
48.6	41
48.7	47
49.2	12
49.3	23
50.3	40
50.6	38
51	26
51.2	33
51.4	17
51.5	9
51.8	1
51.9	27
52.4	34
52.6	4
52.9	35
53	25
53.1	28
55.9	32
56.7	46
57	0
57.8	20
58	15
58	36
58.2	3
58.3	11
58.3	24
59	13
59.2	21
59.4	49
60.6	18
60.6	30
62.4	19
62.6	7
63.4	10
63.9	41
64	2
64.1	6
64.2	31
64.9	39
64.9	42
65.8	28
66.2	4
67	45
67.1	14
67.1	16
67.3	43
67.4	17
67.5	47
68	8
68.2	22
68.4	5
68.4	40
68.6	12
70	29
71	9
71	34
71	48
71.8	46
71.9	37
72.2	44
73	23
73.5	33
73.5	38
73.7	25
73.9	15
74.4	1
75.5	27
75.5	32
76.6	13
77	35
77.1	36
78.3	26
78.6	0
78.6	10
78.7	24
78.8	8
78.9	30
79.1	21
79.2	20
80.5	18
81.2	41
81.8	31
82.9	14
83	4
83	39
83.1	19
83.3	7
83.6	3
83.6	49
83.7	45
83.8	28
83.9	17
84.1	11
84.8	6
84.9	16
86.6	42
86.9	5
87	2
87	22
88.8	43
89.2	48
89.7	47
90.2	37
90.7	9
90.7	23
90.9	38
91.2	40
91.4	29
91.6	44
92.7	46
92.8	1
92.9	34
94.2	13
94.2	33
94.6	15
94.8	25
96.5	35
96.5	49
96.7	12
97.2	30
98.1	41
99.1	10
99.7	21
100.1	43
100.2	31
100.2	36
100.3	26
100.3	32
100.5	45
101.3	24
101.9	4
102.3	28
102.4	20
102.6	19
103.2	3
104.3	5
104.3	14
105.1	27
105.2	16
105.7	18
105.9	8
105.9	42
106.2	17
106.4	2
106.9	29
106.9	39
107	6
107.8	11
108.1	7
109.7	44
109.7	45
110.3	37
110.3	48
110.9	22
111.7	49
112	9
112.2	13
112.6	15
113.5	34
114.4	38
114.5	33
115.4	1
115.8	40
115.9	12
115.9	46
116.5	25
116.6	0
116.7	29
116.9	24
117	47
117.5	43
117.6	35
117.7	19
119.2	23
119.3	36
119.7	41
120.5	30
120.8	32
120.9	21
121.6	27
121.7	4
121.9	20
122.2	39
122.4	3
122.5	26
123.5	31
124.5	14
125.6	8
125.7	28
126	5
126	10
126.1	16
126.6	44
126.8	47
126.8	48
126.9	9
127.2	42
127.7	15
127.7	17
127.7	33
128	37
129.1	7
129.3	45
129.8	6
130.6	18
130.8	2
130.8	11
131.7	13
132.3	41
132.6	26
132.8	3
132.8	24
133.7	46
133.9	25
134	40
134.1	36
134.2	49
134.3	22
134.4	12
134.8	29
135	9
135	35
135.2	1
136.9	34
138.1	0
138.2	23
140	38
140.2	39
140.9	32
141.1	43
141.7	19
141.9	21
142.6	5
143.6	27
143.7	4
145.1	33
145.2	20
145.3	14
145.3	37
145.6	30
145.6	31
145.8	44
146.2	17
146.6	10
146.6	47
147.2	28
147.4	2
147.7	42
149.2	48
149.5	6
149.5	45
149.7	36
150.5	15
150.9	3
151	49
151.5	12
151.5	41
153.2	13
153.2	26
153.3	40
153.4	35
153.5	11
153.7	16
153.8	7
154	24
154.4	1
155.8	23
156.1	39
156.3	29
156.5	32
156.8	8
156.8	9
156.8	22
157.1	18
157.2	0
157.6	34
157.7	25
158.8	19
159.4	33
161.4	46
161.9	28
162.1	30
162.1	38
162.8	43
163	5
163.1	31
163.3	48
163.5	20
164.4	17
164.7	2
164.7	27
164.8	6
165	14
165	21
165.2	4
167.8	37
167.9	10
167.9	42
168	1
168.7	15
169	7
170.8	49
170.9	45
172.8	11
172.8	47
173.1	39
173.2	24
173.4	12
173.5	16
173.7	13
173.7	36
173.8	35
173.9	0
174	22
174.6	9
174.6	48
174.7	44
174.9	41
175.1	25
175.7	3
177.4	29
177.5	23
177.5	28
178.8	33
178.9	20
179	19
179	26
179.5	8
179.6	32
180.2	18
181.3	30
182.2	34
182.9	2
183	38
183.1	31
183.5	42
184.1	40
184.2	46
184.5	6
184.7	5
185.1	10
185.1	14
185.3	43
185.7	1
186.4	21
187.9	27
188.2	48
188.5	17
188.6	4
188.8	7
189.4	22
189.6	44
190	49
190.1	0
190.1	15
190.1	37
192.7	45
193.2	39
193.6	24
193.8	12
194.1	13
194.1	41
194.5	25
194.9	16
195.4	20
195.4	36
195.5	9
195.7	35
196.1	3
196.2	19
196.6	32
197.1	26
198	42
198.3	43
198.6	10
198.6	23
198.6	33
198.7	28
198.9	11
199.7	29
199.8	47
201.5	49
201.8	31
202.8	7
202.9	30
203.1	40
203.2	18
203.4	46
203.7	44
203.9	22
204.3	0
204.4	38
204.7	5
204.9	2
204.9	37
205.1	1
205.2	8
205.5	14
206.4	4
206.6	34
206.7	13
209.1	6
209.4	48
209.7	12
209.7	15
210.2	21
210.6	41
212	27
212.6	16
212.8	9
213.8	3
213.9	26
213.9	33
214	24
214.3	45
215	43
215.3	17
215.6	19
215.8	32
216.2	36
216.9	25
217.1	28
217.6	29
218	20
218.1	10
218.2	42
218.3	30
219.2	0
219.2	35
219.3	37
219.9	40
221.2	49
222.3	47
223.4	11
223.9	22
224.1	31
224.1	39
224.4	2
225.3	38
225.5	1
225.7	5
225.8	16
225.8	46
226.1	44
226.2	48
226.5	7
227.6	13
228.1	34
228.5	23
228.7	3
228.9	4
229	8
229.7	6
229.8	15
230.3	12
230.3	14
231.2	33
232.4	18
232.8	0
233.1	32
233.4	28
233.4	41
