11.1	0
11.8	11
11.8	35
11.9	24
12	34
12.1	49
12.4	1
12.4	23
12.4	41
12.5	4
12.5	7
12.5	17
12.6	22
12.6	33
12.7	5
12.7	13
12.7	42
12.8	43
12.8	44
12.9	25
13	2
13	36
13.2	8
13.2	10
13.2	14
13.3	32
13.3	45
13.4	15
13.4	20
22.7	3
23.2	37
23.3	26
23.7	6
23.7	28
23.9	9
24.7	48
26.9	29
27.1	30
27.3	45
27.6	31
27.6	43
28.3	36
28.3	47
28.4	46
29	2
29.4	39
29.5	12
29.7	5
29.9	14
29.9	21
29.9	44
30.4	38
30.6	18
32.9	27
33.3	42
33.6	16
35	40
35.3	10
36.3	13
36.4	1
37.9	15
38.3	34
39.5	19
40.2	0
40.5	17
40.5	22
40.7	25
40.9	7
41.1	41
41.2	32
41.4	8
41.5	35
41.7	47
43	11
43.1	23
44.6	28
46.2	24
48.4	3
48.8	9
50.5	6
51.5	29
51.8	49
52.1	39
52.3	43
52.4	33
54.8	18
55.6	2
55.7	26
55.9	21
56	4
56.3	38
56.3	45
56.3	48
56.7	20
60	42
60.3	46
61.4	36
62	34
62.3	12
62.7	15
62.7	44
62.8	1
62.8	27
64.4	40
64.8	30
66.9	0
67.5	35
68.4	10
68.6	17
68.6	37
68.8	47
69.3	5
70.2	14
70.5	13
70.8	7
70.8	22
70.9	8
71.5	3
71.5	25
72.6	32
75.3	28
75.9	16
76.9	39
76.9	43
77.2	45
77.4	31
79	24
79.7	19
80.1	9
80.2	11
80.9	6
80.9	23
81.9	26
81.9	41
82.9	49
83.8	29
85.4	4
85.6	48
86.2	20
86.4	18
87.3	12
88.5	33
88.5	34
88.7	2
88.8	27
89.3	42
89.5	44
90.4	38
90.7	40
91.8	15
92.1	17
95.4	0
95.4	46
95.9	36
96.5	47
96.8	21
97.2	30
98.3	1
99.7	10
99.8	35
100.7	41
100.9	45
101.3	13
101.6	7
101.7	16
101.8	8
101.8	37
102.2	5
102.5	39
102.8	31
103.1	14
103.6	22
103.6	49
105.5	28
106.6	25
107.1	32
107.4	43
107.7	11
109.3	26
111	3
111	20
111.4	29
112.9	6
114	46
116	9
116	23
116	24
118.4	19
118.5	2
119.2	12
119.9	18
120.5	48
121.3	33
121.9	38
123.7	27
124.2	35
124.3	25
124.5	4
124.5	42
124.7	0
124.7	15
125	44
125.5	34
125.5	47
125.6	40
126.5	5
126.5	41
127.9	16
127.9	21
128.7	32
128.8	28
129.3	10
129.4	36
130.5	45
132.7	37
133.2	1
133.8	31
135	7
135.5	13
135.8	20
136.4	11
136.5	49
136.9	14
137.3	22
138.1	29
138.4	26
138.4	43
138.8	30
139.1	19
139.2	39
139.8	8
140.4	17
140.6	3
147.3	24
147.8	2
148.3	18
149	25
149	48
150	0
151.4	4
152.3	15
153.9	27
154.6	42
154.7	47
154.9	13
155.5	45
156.1	35
156.2	6
156.2	33
156.4	32
156.7	5
158.9	7
159	12
159	34
159.2	38
159.6	46
159.9	10
160.4	40
160.5	36
160.8	16
161.1	9
162.1	28
162.7	20
163.6	23
164.5	1
166.5	30
166.5	41
167	26
167.1	21
167.2	31
167.2	44
167.3	14
167.3	37
167.5	22
167.6	29
168.2	25
168.5	49
168.7	11
169.3	8
170.1	19
170.3	17
173.9	39
174.7	13
175.6	48
176.8	18
180.8	47
182.1	2
182.1	43
182.8	24
182.8	32
183.8	0
184	3
184.3	15
184.5	45
184.8	42
185.5	4
187.3	9
188.7	27
189.7	36
190.5	7
190.5	12
190.7	6
190.7	16
190.8	33
191	30
191.3	40
191.4	10
191.4	20
191.8	34
192	19
192	29
192.1	1
192.1	41
192.8	5
192.9	14
193.9	21
194.2	38
194.3	22
195.4	23
195.5	31
195.7	44
195.8	17
196.5	28
197.3	11
197.5	25
199.7	13
200.3	49
200.4	46
200.6	8
201.5	39
203.8	43
204.7	37
205.9	26
206.1	48
206.6	18
208.7	33
209.1	35
210.8	7
211	45
211.2	32
211.3	15
212.7	3
213.1	24
213.2	0
213.9	2
214.9	9
216.2	47
216.8	42
218.3	4
219.5	19
219.7	29
219.9	36
220.4	17
221.8	34
222.6	27
223.1	30
223.5	6
223.9	12
224.8	38
225.4	5
225.4	20
225.6	10
226	41
226.6	14
226.6	16
226.8	28
227.3	1
227.9	40
228	23
228.3	22
228.6	11
228.7	21
229.1	39
229.9	8
230.2	25
230.3	44
230.7	13
232.8	18
234.2	37
234.5	49
234.9	46
235.6	31
235.6	33
236.5	43
239.6	24
240.3	48
242.1	17
242.5	15
242.7	26
242.7	27
243.6	0
243.7	9
244.1	32
244.6	45
244.8	3
245.4	2
248.4	34
248.4	36
249.4	12
251.6	4
251.9	35
252	30
252.5	44
253.1	7
253.6	42
254.7	10
255	47
255.1	29
255.2	21
255.4	33
256.7	11
257.9	38
258.1	14
258.1	41
258.4	13
258.6	28
258.8	31
259.4	23
259.8	25
260.1	8
260.2	15
260.2	40
260.3	16
261.5	20
261.5	37
261.8	19
262.2	1
262.7	39
264.7	6
266.3	5
267.1	43
268.1	49
268.2	18
268.4	46
268.8	26
271.2	24
271.5	7
272.7	27
272.9	48
273	32
273.1	12
273.6	17
273.7	2
274.3	3
275.6	33
275.9	22
276.2	45
277.6	0
277.6	44
277.7	9
278.3	34
278.6	36
279.3	21
279.4	4
282.7	30
283.8	37
284.2	35
284.4	42
286	10
286.4	40
286.6	15
286.8	13
287.7	47
288	29
288.5	28
288.6	38
288.8	39
290.7	11
291.3	20
292.3	23
292.3	25
292.8	8
293.4	14
293.4	41
293.5	19
293.7	31
295	18
295.2	26
298.3	49
298.9	46
300.2	6
300.8	24
301	1
301.2	16
301.4	43
301.7	33
301.9	3
302.2	7
303.1	32
303.3	2
303.3	45
304.1	5
305.9	22
307.3	27
307.3	48
308.7	9
309.2	0
309.9	36
310.4	12
310.8	17
311.4	4
311.6	34
311.7	44
311.8	21
311.9	11
312.9	29
313.2	39
313.4	30
314.4	40
314.4	42
316.4	35
317.1	47
318.9	31
319.4	41
319.8	15
320.4	8
321	18
321.1	28
322.5	10
322.6	13
323.1	19
323.8	25
323.9	23
323.9	37
324.1	38
325.7	20
326.1	2
327.1	49
327.5	26
329.8	1
330.2	5
330.7	6
331.2	24
333.1	45
333.1	46
333.3	14
333.4	43
333.5	7
335.7	16
336.2	4
336.5	27
337.1	33
337.8	17
338.4	9
338.6	32
339	22
339.1	11
339.6	47
340.1	36
341	12
341.1	3
341.2	39
341.6	48
341.8	29
343.4	21
343.9	0
344.3	44
344.9	31
345.4	37
345.4	40
345.7	25
346.3	35
346.4	18
346.7	28
347.1	42
347.7	15
348.2	30
348.3	19
348.7	34
349.9	41
351	10
351.2	23
351.3	13
351.4	8
352.3	24
353.4	2
355.1	20
355.8	38
361.3	49
363.1	7
363.7	26
364	43
364.8	5
365.5	16
366.5	46
367	1
367.6	11
368.5	27
369.7	17
371	0
371.4	45
371.8	6
372.4	47
372.8	33
373.2	25
